iter,distribution,num queries,strategy,domain,leaf size,range size,avg node range,num leafs,tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops, mapping share ops, mapping merge ops,mapping insert time, mapping transfer time, mapping share time, mapping merge time, mapping total time, additional tree time, tree building time, mapping + tree building time,post filtering time,db execution time,total time
3,normal,10000,eager,1000000,100000,100000,62497,16,6,25708,25664,32,12,17,0.002323,0.000074,0.000088,0.000131,0.00261621,0,0.00289858,0.00551479,18.6492,0.354406,19.0092
4,normal,10000,eager,1000000,100000,100000,62497,16,6,25708,25664,32,12,17,0.002472,0.000075,0.000090,0.000112,0.00274851,0,0.00306081,0.00580931,18.6684,0.355113,19.0294
0,normal,10000,additional,1000000,100000,100000,62497,16,6,25708,0,0,0,0,0,0,0,0,0,0.000871254,0.00348371,0.00435497,18.7247,0.358264,19.0874
1,normal,10000,additional,1000000,100000,100000,62497,16,6,25708,0,0,0,0,0,0,0,0,0,0.000875163,0.00363814,0.0045133,18.749,0.358689,19.1123
2,normal,10000,additional,1000000,100000,100000,62497,16,6,25708,0,0,0,0,0,0,0,0,0,0.000865731,0.00351543,0.00438116,18.832,0.358009,19.1945
3,normal,10000,additional,1000000,100000,100000,62497,16,6,25708,0,0,0,0,0,0,0,0,0,0.00417343,0.00769855,0.011872,18.6849,0.384105,19.079
4,normal,10000,additional,1000000,100000,100000,62497,16,6,25708,0,0,0,0,0,0,0,0,0,0.000898134,0.00324101,0.00413914,19.0964,0.389174,19.4898
0,normal,100000,lazy,1000000,100000,100000,62498,16,6,257633,257550,34,12,19,0.025137,0.000038,0.000067,0.000278,0.0255207,0,0.0375001,0.0630208,188.195,0.353754,188.612
1,normal,100000,lazy,1000000,100000,100000,62498,16,6,257633,257550,34,12,19,0.025815,0.000037,0.000066,0.000275,0.0261927,0,0.0375971,0.0637898,188.452,0.353595,188.869
2,normal,100000,lazy,1000000,100000,100000,62498,16,6,257633,257550,34,12,19,0.010778,0.000029,0.000066,0.000121,0.0109943,0,0.0174333,0.0284275,188.356,0.353274,188.737
3,normal,100000,lazy,1000000,100000,100000,62498,16,6,257633,257550,34,12,19,0.023638,0.000037,0.000066,0.000276,0.0240173,0,0.0383335,0.0623508,188.078,0.353448,188.494
4,normal,100000,lazy,1000000,100000,100000,62498,16,6,257633,257550,34,12,19,0.024149,0.000038,0.000066,0.000298,0.0245506,0,0.0379404,0.0624911,188.363,0.353785,188.779
0,normal,100000,eager,1000000,100000,100000,62498,16,6,257594,257550,34,12,19,0.028985,0.000319,0.000087,0.000549,0.0299404,0,0.0380748,0.0680151,186.74,0.35448,187.163
1,normal,100000,eager,1000000,100000,100000,62498,16,6,257594,257550,34,12,19,0.028765,0.000319,0.000117,0.000571,0.0297726,0,0.0373612,0.0671339,186.457,0.352915,186.877
2,normal,100000,eager,1000000,100000,100000,62498,16,6,257594,257550,34,12,19,0.012755,0.000157,0.000086,0.000220,0.0132187,0,0.0168216,0.0300403,186.521,0.353536,186.905
3,normal,100000,eager,1000000,100000,100000,62498,16,6,257594,257550,34,12,19,0.027664,0.000324,0.000089,0.000570,0.0286466,0,0.036252,0.0648985,186.432,0.353413,186.85
4,normal,100000,eager,1000000,100000,100000,62498,16,6,257594,257550,34,12,19,0.027670,0.000320,0.000090,0.000551,0.0286303,0,0.0365156,0.0651459,186.456,0.353693,186.875
0,normal,100000,additional,1000000,100000,100000,62498,16,6,257594,0,0,0,0,0,0,0,0,0,0.0103605,0.0448299,0.0551905,188.179,0.357488,188.595
1,normal,100000,additional,1000000,100000,100000,62498,16,6,257594,0,0,0,0,0,0,0,0,0,0.0103915,0.0447156,0.0551071,188.39,0.357222,188.805
2,normal,100000,additional,1000000,100000,100000,62498,16,6,257594,0,0,0,0,0,0,0,0,0,0.0102843,0.0452797,0.055564,188.577,0.358182,188.993
3,normal,100000,additional,1000000,100000,100000,62498,16,6,257594,0,0,0,0,0,0,0,0,0,0.0104101,0.0448344,0.0552445,188.603,0.357824,189.019
4,normal,100000,additional,1000000,100000,100000,62498,16,6,257594,0,0,0,0,0,0,0,0,0,0.0103431,0.0434073,0.0537504,188.059,0.357885,188.473
0,normal,1000000,lazy,1000000,100000,100000,62499,16,6,2577977,2577894,37,12,22,0.103132,0.000093,0.000065,0.001082,0.104372,0,0.176681,0.281053,1878.87,0.350163,1879.5
1,normal,1000000,lazy,1000000,100000,100000,62499,16,6,2577977,2577894,37,12,22,0.118415,0.000103,0.000065,0.001041,0.119623,0,0.175675,0.295298,1893.97,0.350633,1894.61
2,normal,1000000,lazy,1000000,100000,100000,62499,16,6,2577977,2577894,37,12,22,0.093810,0.000082,0.000064,0.000880,0.0948369,0,0.156416,0.251253,1874.81,0.35008,1875.41
3,normal,1000000,lazy,1000000,100000,100000,62499,16,6,2577977,2577894,37,12,22,0.097170,0.000094,0.000065,0.000907,0.0982358,0,0.160141,0.258376,1876.25,0.351448,1876.85
4,normal,1000000,lazy,1000000,100000,100000,62499,16,6,2577977,2577894,37,12,22,0.117612,0.000089,0.000065,0.001074,0.118841,0,0.175561,0.294401,1886.8,0.356703,1887.45
0,normal,1000000,eager,1000000,100000,100000,62499,16,6,2577938,2577894,37,12,22,0.139519,0.002192,0.000088,0.003139,0.144938,0,0.174744,0.319682,1867.93,0.34998,1868.6
1,normal,1000000,eager,1000000,100000,100000,62499,16,6,2577938,2577894,37,12,22,0.138747,0.002250,0.000088,0.003088,0.144173,0,0.176644,0.320816,1866.31,0.35024,1866.98
2,normal,1000000,eager,1000000,100000,100000,62499,16,6,2577938,2577894,37,12,22,0.125127,0.002029,0.000085,0.002774,0.130016,0,0.155176,0.285192,1867.8,0.347174,1868.43
3,normal,1000000,eager,1000000,100000,100000,62499,16,6,2577938,2577894,37,12,22,0.137082,0.002205,0.000088,0.003072,0.142446,0,0.176024,0.318471,1864.55,0.350608,1865.22
4,normal,1000000,eager,1000000,100000,100000,62499,16,6,2577938,2577894,37,12,22,0.138273,0.002221,0.000090,0.003077,0.143661,0,0.178531,0.322192,1865.09,0.347432,1865.76
0,normal,1000000,additional,1000000,100000,100000,62499,16,6,2577938,0,0,0,0,0,0,0,0,0,0.0900548,0.182669,0.272723,1876.77,0.354383,1877.36
1,normal,1000000,additional,1000000,100000,100000,62499,16,6,2577938,0,0,0,0,0,0,0,0,0,0.0922615,0.156282,0.248543,1881.63,0.35305,1882.19
2,normal,1000000,additional,1000000,100000,100000,62499,16,6,2577938,0,0,0,0,0,0,0,0,0,0.0911193,0.183631,0.27475,1876.77,0.351596,1877.36
3,normal,1000000,additional,1000000,100000,100000,62499,16,6,2577938,0,0,0,0,0,0,0,0,0,0.0911517,0.183779,0.27493,1886.57,0.367921,1887.18
4,normal,1000000,additional,1000000,100000,100000,62499,16,6,2577938,0,0,0,0,0,0,0,0,0,0.0909318,0.186556,0.277488,1874.96,0.357861,1875.56
