iter,strategy,distribution,num queries,domain size,leaf size,range size,range size min, range size avg, range size max,avg node length,# leaf nodes,max tree depth,mapping queries nodes,mapping insert ops,mapping transfer ops,mapping share ops,mapping merge ops,mapping insert time,mapping transfer time,mapping share time,mapping merge time,tree building time,mapping total time,additional tree time, mapping + tree building time,post filtering time,db execution time,total time
1,eager,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,26156,31,12,16,0.001222,0.000016,0.000008,0.000039,0.00158925,0.00128442,0,0.00287367,1881.63,0.35305,1881.98592367
2,eager,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,26156,31,12,16,0.001191,0.000016,0.000008,0.000026,0.00158562,0.00124089,0,0.0028265,1876.77,0.351596,1877.1244225
3,eager,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,26156,31,12,16,0.001191,0.000016,0.000008,0.000026,0.00161657,0.00124089,0,0.00285747,1886.57,0.367921,1886.94077847
4,eager,normal,10000,1000000,100000,100000,100000,100000,100000,62496,16,5,26180,26156,31,12,16,0.001207,0.000016,0.000008,0.000026,0.00161334,0.00125663,0,0.00286998,1874.96,0.357861,1875.32073098
0,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012405,0.000269,0.000008,0.000383,0.0161649,0.0130653,0,0.0292302,0,0,0
1,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012405,0.000275,0.000008,0.000400,0.0160497,0.0130875,0,0.0291373,0,0,0
2,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012761,0.000283,0.000008,0.000407,0.0164859,0.0134599,0,0.0299458,0,0,0
3,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012315,0.000339,0.000008,0.000466,0.0160234,0.0131275,0,0.0291509,0,0,0
4,eager,normal,100000,1000000,100000,100000,100000,100000,100000,62499,16,5,261127,261103,35,12,20,0.012369,0.000316,0.000008,0.000434,0.0159721,0.0131257,0,0.0290979,0,0,0
0,eager,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610520,2610496,38,12,23,0.120829,0.002134,0.000008,0.003142,0.158987,0.126113,0,0.2851,0,0,0
1,eager,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610520,2610496,38,12,23,0.118991,0.002115,0.000008,0.003084,0.156899,0.124199,0,0.281097,0,0,0
2,eager,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610520,2610496,38,12,23,0.118780,0.002171,0.000008,0.003120,0.157621,0.124079,0,0.2817,0,0,0
3,eager,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610520,2610496,38,12,23,0.119951,0.002190,0.000008,0.003092,0.158342,0.125241,0,0.283583,0,0,0
4,eager,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,16,5,2610520,2610496,38,12,23,0.119603,0.002162,0.000008,0.003117,0.15694,0.12489,0,0.28183,0,0,0
0,eager,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103747,26103723,39,12,24,1.377693,0.004308,0.000010,0.006180,1.60147,1.38819,0,2.98966,0,0,0
1,eager,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103747,26103723,39,12,24,1.319679,0.004185,0.000008,0.006161,1.55753,1.33003,0,2.88756,0,0,0
2,eager,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103747,26103723,39,12,24,1.321000,0.004200,0.000008,0.006208,1.57349,1.33142,0,2.9049,0,0,0
3,eager,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103747,26103723,39,12,24,1.322054,0.004221,0.000008,0.006377,1.56348,1.33266,0,2.89614,0,0,0
4,eager,normal,10000000,1000000,100000,100000,100000,100000,100000,62499,16,5,26103747,26103723,39,12,24,1.321932,0.004278,0.000008,0.006193,1.56416,1.33241,0,2.89657,0,0,0
